ID,Name,Nationality,Age,Overall rating,Team & Contract,Height,Weight,foot,Best position,Value,Total attacking,Total skill,Total movement,Total power,Total mentality,Total defending,Body type
20,N. De Cat,Belgium,16,68,RSC Anderlecht,192.0,86.0,Right,CDM,2.9,274,288,313,310,304,197,Lean
21,A. Ounahi,Morocco,25,79,Girona FC,182.0,62.0,Right,CAM,23.0,342,379,387,379,357,201,Lean
22,Lamine Yamal,Spain,17,89,FC Barcelona,181.0,72.0,Left,CAM,147.0,370,424,437,369,318,78,Lean
23,K. Wätjen,Germany,19,67,VfL Bochum,184.0,72.0,Right,CAM,2.2,277,315,369,288,285,173,Normal
24,K. Smit,Netherlands,19,74,AZ Alkmaar,180.0,66.0,Right,CAM,10.0,312,362,356,338,338,190,Normal
25,A. Al Obaid,Saudi Arabia,32,57,Damac FC,171.0,64.0,Left,LM,0.11,266,308,318,305,270,153,Lean
26,N. Mazraoui,Morocco,27,80,Manchester United,183.0,65.0,Right,RB,20.5,357,346,380,355,348,233,Lean
27,M. Greenwood,England,23,83,Olympique de Marseille,181.0,80.0,Left,CAM,49.5,387,398,413,382,330,99,Lean
28,M. Olise,France,23,89,FC Bayern München,180.0,78.0,Left,RM,134.0,365,431,420,372,368,151,Lean
29,J. Enciso,Paraguay,21,75,RC Strasbourg Alsace,173.0,64.0,Right,CAM,12.5,303,356,381,317,298,98,Normal
30,A. Bouaddi,France,17,78,Lille OSC,186.0,72.0,Right,CDM,27.0,307,348,360,346,345,216,Lean
31,L. Ugochukwu,France,21,76,Burnley,191.0,88.0,Right,CDM,11.0,326,335,321,363,346,223,Normal
32,O. Rosengren,Sweden,22,70,Malmö FF,178.0,68.0,Right,CM,3.6,313,336,362,354,340,183,Lean
33,W. Alves,England,20,63,Huddersfield Town,179.0,74.0,Right,CAM,1.2,276,311,323,267,262,135,Lean
34,Rayan,Brazil,18,78,AFC Bournemouth,185.0,80.0,Left,ST,29.5,372,369,382,397,324,89,Normal
35,L. Messi,Argentina,38,86,Inter Miami,169.0,67.0,Left,CAM,22.0,396,448,404,377,331,79,Unique
36,M. Perin,Italy,32,78,Juventus,188.0,77.0,Right,GK,7.0,86,101,270,215,122,51,Lean
37,J. Alvarez,Argentina,25,86,Atlético Madrid,170.0,71.0,Right,CAM,91.0,407,428,434,416,388,165,Normal
38,M. Rogers,England,22,84,Aston Villa,187.0,80.0,Right,CAM,56.0,378,403,393,408,366,189,Normal
39,J. Bellingham,England,19,77,Borussia Dortmund,191.0,75.0,Right,CDM,16.0,350,356,354,393,366,232,Lean
40,J. Joronen,Finland,32,73,Palermo FC,197.0,89.0,Right,GK,1.5,84,87,247,228,141,51,Normal
41,L. Paredes,Argentina,31,81,Boca Juniors,182.0,75.0,Right,CM,21.0,351,409,352,381,401,227,Normal
42,M. Salah,Egypt,33,89,Liverpool,175.0,72.0,Left,RM,64.0,402,411,438,400,382,122,Unique
43,P. Berg,Norway,27,79,FK Bodø/Glimt,177.0,74.0,Right,CDM,18.0,343,365,369,394,356,222,Normal
44,M. Rashford,England,27,82,FC Barcelona,188.0,80.0,Right,LW,32.5,386,396,406,399,325,83,Unique
45,D. Doekhi,Netherlands,27,80,1. FC Union Berlin,190.0,86.0,Right,CB,21.0,281,265,326,349,300,236,Normal
46,M. Hjulmand,Denmark,26,83,Sporting CP,185.0,79.0,Right,CDM,43.0,359,367,365,413,380,239,Normal
47,Pedri,Spain,22,90,FC Barcelona,174.0,60.0,Right,CM,165.0,351,414,423,390,385,238,Lean
48,E. Anderson,England,22,82,Nottingham Forest,179.0,69.0,Right,CM,40.5,368,393,386,388,386,239,Normal
49,W. Pacho,Ecuador,23,88,Paris Saint-Germain,188.0,81.0,Left,CB,105.5,264,277,370,332,304,267,Normal
50,A. Gray,England,19,77,Tottenham Hotspur,187.0,70.0,Right,CDM,21.5,328,351,353,350,346,225,Lean
51,L. Vušković,Croatia,18,78,Hamburger SV,193.0,86.0,Right,CB,27.5,305,300,278,376,310,233,Lean
52,G. Doué,Côte d'Ivoire,22,77,RC Strasbourg Alsace,187.0,84.0,Right,CB,15.0,317,321,345,347,329,225,Normal
53,V. Froholdt,Denmark,19,79,FC Porto,187.0,74.0,Right,CDM,38.0,349,353,389,389,378,233,Lean
54,N. Tresoldi,Germany,20,74,Club Brugge KV,183.0,77.0,Right,ST,10.0,318,305,371,373,261,47,Normal
55,K. Mainoo,England,20,79,Manchester United,181.0,80.0,Right,CM,25.0,344,372,383,355,362,230,Normal
56,K. van Oevelen,Netherlands,21,68,FC Volendam,199.0,83.0,Right,GK,2.3,70,67,170,202,106,37,Lean
57,Estêvão,Brazil,18,79,Chelsea,178.0,71.0,Left,CAM,37.0,344,383,438,336,319,89,Unique
58,Son Heung Min,Korea Republic,32,84,Los Angeles FC,183.0,78.0,Right,ST,34.0,403,406,404,406,344,112,Unique
59,Y. Tielemans,Belgium,28,85,Aston Villa,176.0,72.0,Right,CM,54.0,397,415,330,385,378,231,Normal
60,Dani Ceballos,Spain,28,80,Real Madrid,179.0,70.0,Right,CM,21.0,330,391,353,345,363,219,Lean
61,Raphinha,Brazil,28,89,FC Barcelona,176.0,68.0,Left,LW,104.0,408,425,439,409,392,141,Lean
62,Ferran Torres,Spain,25,84,FC Barcelona,183.0,80.0,Right,ST,53.5,412,380,415,406,342,99,Lean
63,Vitinha,Portugal,25,90,Paris Saint-Germain,172.0,64.0,Right,CM,149.0,364,424,415,381,422,222,Lean
64,Z. Suzuki,Japan,22,74,Parma,190.0,91.0,Right,GK,5.5,58,72,277,235,104,37,Stocky
65,T. Muharemović,Bosnia and Herzegovina,22,74,Sassuolo,187.0,76.0,Left,CB,6.0,207,243,310,278,255,228,Lean
66,R. Onyedika,Nigeria,24,78,Club Brugge KV,184.0,79.0,Right,CDM,26.5,304,325,366,401,332,226,Lean
67,Sidny Cabral,Cabo Verde,22,68,SL Benfica,176.0,69.0,Right,RM,2.3,296,340,384,350,310,176,Normal
68,S. El Mala,Germany,18,76,1. FC Köln,187.0,80.0,Right,CAM,16.0,313,342,414,356,291,117,Normal
69,Víctor Muñoz,Spain,21,78,CA Osasuna,173.0,70.0,Right,RM,31.5,338,335,425,340,319,134,Normal
70,S. Steur,Netherlands,17,69,Ajax,183.0,62.0,Right,CAM,3.5,280,339,376,303,315,166,Lean
71,Oso,Spain,21,72,Sevilla FC,183.0,68.0,Left,LB,5.0,312,327,354,324,320,204,Normal
72,M. Albert,United States,16,66,Borussia Dortmund,179.0,67.0,Right,CAM,2.7,286,285,370,235,245,79,Lean
73,L. Muriel,Colombia,34,75,Junior FC,178.0,79.0,Right,CF,2.7,365,373,371,362,309,81,Normal
74,H. Kane,England,31,90,FC Bayern München,188.0,86.0,Right,ST,101.0,442,400,361,432,397,132,Unique
75,25M. van der Hart,Netherlands,30,67,SC Heerenveen,188.0,87.0,Left,GK,0.775,87,111,227,218,155,38,Normal
76,Bruno Fernandes,Portugal,30,88,Manchester United,179.0,69.0,Right,CAM,88.0,409,432,377,396,418,202,Unique
77,O. Dembélé,France,28,90,Paris Saint-Germain,178.0,67.0,Left,CF,122.5,412,419,448,405,362,137,Unique
78,A. Hakimi,Morocco,26,89,Paris Saint-Germain,181.0,73.0,Right,RB,111.0,396,398,433,410,392,246,Lean
79,F. Medina,Argentina,26,79,Olympique de Marseille,184.0,77.0,Left,CDM,21.5,290,307,355,327,340,239,Normal
80,Vini Jr.,Brazil,24,89,Real Madrid,176.0,73.0,Right,CAM,141.0,373,403,450,392,335,75,Lean
81,Marc Cucurella,Spain,26,85,Chelsea,174.0,71.0,Left,LB,53.5,352,379,405,382,378,252,Normal
82,A. Mac Allister,Argentina,26,85,Liverpool,176.0,72.0,Right,CM,63.0,387,417,386,399,411,233,Normal
83,D. Spence,England,24,79,Tottenham Hotspur,184.0,71.0,Right,RWB,23.5,300,325,398,353,329,229,Lean
84,B. Saka,England,23,87,Arsenal,178.0,65.0,Left,LM,103.5,385,413,427,395,389,182,Lean
85,E. Fernández,Argentina,24,85,Chelsea,178.0,78.0,Right,CM,73.0,391,415,375,380,404,219,Normal
86,R. Cherki,France,21,84,Manchester City,177.0,71.0,Left,CAM,61.5,349,419,405,354,335,120,Normal
87,M. Caicedo,Ecuador,23,88,Chelsea,178.0,73.0,Right,CDM,107.0,340,376,388,406,377,259,Normal
88,Nico Williams,Spain,22,85,Athletic Club,181.0,67.0,Right,RM,75.0,367,400,443,372,335,94,Lean
89,F. Wirtz,Germany,22,87,Liverpool,177.0,71.0,Right,CAM,116.5,381,421,421,369,357,157,Normal
90,J. Musiala,Germany,22,87,FC Bayern München,186.0,75.0,Right,CAM,116.5,392,392,434,374,356,190,Lean
91,I. Saibari,Morocco,24,80,PSV,185.0,81.0,Right,CAM,32.0,351,374,395,407,340,152,Normal
92,I. Ndiaye,Senegal,25,82,Everton,180.0,70.0,Right,RM,36.5,360,367,419,368,334,115,Lean
93,O. Diomande,Côte d'Ivoire,21,80,Sporting CP,190.0,93.0,Right,CB,40.0,222,262,362,325,260,237,Normal
94,W. Zaïre-Emery,France,19,83,Paris Saint-Germain,178.0,68.0,Right,CM,55.0,336,365,410,413,378,234,Normal
95,G. Read,Netherlands,19,76,Feyenoord,183.0,70.0,Right,RB,17.0,280,311,390,350,319,219,Normal
96,M. Kömür,Germany,19,72,FC Augsburg,183.0,77.0,Right,CAM,5.0,307,335,357,311,278,120,Normal
97,A. Pavlović,Germany,21,82,FC Bayern München,188.0,78.0,Right,CM,43.0,368,392,353,373,349,236,Lean
98,A. Diao,Senegal,19,76,Como,185.0,80.0,Right,CAM,16.0,324,332,403,339,307,103,Lean
99,C. Uzun,Türkiye,19,78,Eintracht Frankfurt,186.0,67.0,Right,CAM,27.5,354,373,374,365,310,100,Lean
100,J. Simić,Serbia,20,69,Al Ittihad,186.0,75.0,Right,CB,3.2,215,188,311,247,234,210,Stocky
101,M. Lewis-Skelly,England,18,78,Arsenal,178.0,72.0,Left,CDM,28.0,336,348,377,369,359,228,Normal
102,Geovany Quenda,Portugal,18,76,Sporting CP,172.0,71.0,Left,CAM,17.5,309,373,399,339,299,122,Normal
103,B. Barcola,France,22,84,Paris Saint-Germain,188.0,70.0,Right,RM,61.5,386,378,417,365,328,101,Lean
104,M. Akliouche,France,23,80,AS Monaco,183.0,63.0,Left,CAM,33.5,335,390,386,338,331,142,Lean
105,G. Scalvini,Italy,21,78,Atalanta,194.0,76.0,Right,CB,29.5,251,245,298,306,286,241,Normal
106,F. Asllani,Kosovo,22,79,TSG,191.0,81.0,Right,ST,26.0,353,336,360,399,317,65,Normal
107,Éderson,Brazil,25,82,Atalanta,183.0,83.0,Right,CM,40.0,350,362,371,395,372,239,Normal
108,J. Ordoñez,Ecuador,21,76,Club Brugge KV,188.0,80.0,Right,CB,15.5,238,220,340,294,279,223,Lean
109,S. Nypan,Norway,18,70,Manchester City,183.0,70.0,Right,CAM,4.0,311,325,390,313,306,168,Lean
110,S. Pafundi,Italy,19,69,Sampdoria,166.0,64.0,Left,CAM,3.3,305,360,395,292,318,123,Normal
111,A. Ouédraogo,Germany,19,74,RB Leipzig,191.0,89.0,Right,CAM,10.0,342,357,386,371,315,156,Lean
112,N. O'Reilly,England,20,81,Manchester City,193.0,77.0,Left,LB,35.5,372,372,388,396,369,234,Lean
113,P. Comuzzo,Italy,20,75,Fiorentina,185.0,75.0,Right,CB,11.5,238,218,314,273,252,230,Normal
114,I. Mbaye,Senegal,17,74,Paris Saint-Germain,176.0,65.0,Right,RW,8.5,289,317,415,293,264,80,Normal
115,O. Gill,Paraguay,25,67,San Lorenzo de Almagro,198.0,82.0,Left,GK,1.3,67,83,177,157,96,36,Normal
116,18L. Obraniak,Poland,32,68,AJ Auxerre,174.0,72.0,Left,CAM,0.7000000000000001,324,338,326,283,321,134,Normal
117,Y. Sommer,Switzerland,36,86,Inter,183.0,79.0,Right,GK,7.5,92,117,298,257,162,43,Normal
118,K. De Bruyne,Belgium,34,87,Napoli,181.0,75.0,Right,CM,36.5,399,443,354,387,394,190,Unique
119,P. Pogba,France,32,77,AS Monaco,191.0,84.0,Right,CAM,8.5,373,418,329,387,369,171,Unique
120,23Mexer,Mozambique,33,70,GD Estoril Praia,186.0,80.0,Right,CB,0.75,274,274,256,304,281,208,Lean
121,R. Allsop,England,33,68,Birmingham City,189.0,80.0,Right,GK,0.4,104,144,240,218,146,39,Normal
122,25L. Kurzawa,France,31,69,Boavista FC,182.0,74.0,Left,LB,1.0,338,329,315,314,334,206,Lean
123,B. Assombalonga,Congo DR,32,63,Barnet,177.0,79.0,Right,ST,0.4,301,295,338,344,287,90,Normal
124,26A. Khamis,Saudi Arabia,36,63,Al Okhdood,166.0,72.0,Right,RB,0.11,258,276,323,303,292,176,Normal
125,19F. Nájera,Colombia,34,67,La Equidad,185.0,78.0,Right,CB,0.23,242,210,237,264,250,187,Normal
126,B. Embolo,Switzerland,28,77,Stade Rennais FC,187.0,88.0,Right,ST,11.0,359,345,364,394,342,143,Stocky
127,Marcos Llorente,Spain,30,85,Atlético Madrid,183.0,74.0,Right,RB,46.5,377,386,422,419,391,236,Lean
128,D. Dumfries,Netherlands,29,84,Inter,188.0,80.0,Right,RB,37.0,372,352,378,395,363,234,Normal
129,E. Eze,England,27,84,Arsenal,178.0,69.0,Right,CAM,48.5,377,415,408,377,356,166,Normal
130,F. Valverde,Uruguay,26,89,Real Madrid,182.0,78.0,Right,CM,120.5,391,407,418,446,394,253,Unique
131,L. Martínez,Argentina,27,81,Manchester United,178.0,77.0,Left,CB,26.0,334,356,359,375,369,246,Normal
132,O. Solet,France,25,78,Udinese,192.0,88.0,Right,CB,18.5,248,286,342,357,322,232,Normal
133,A. Gordon,England,24,82,Newcastle United,183.0,72.0,Right,RM,41.5,369,380,412,379,359,153,Lean
134,K. Kvaratskhelia,Georgia,24,88,Paris Saint-Germain,183.0,70.0,Right,CAM,125.0,378,418,428,427,386,169,Normal
135,Bruno Guimarães,Brazil,27,86,Newcastle United,182.0,74.0,Right,CM,72.0,369,406,369,399,396,241,Lean
136,E. Camavinga,France,22,81,Real Madrid,185.0,77.0,Left,CM,37.5,351,382,404,390,369,240,Lean
137,J. Zirkzee,Netherlands,24,77,Manchester United,193.0,89.0,Right,CAM,16.0,364,376,351,390,334,111,Normal
138,S. Lammens,Belgium,22,81,Manchester United,193.0,92.0,Right,GK,33.5,86,107,233,246,119,34,Normal
139,B. El Khannouss,Morocco,21,78,VfB Stuttgart,180.0,70.0,Right,CAM,22.5,314,383,405,320,282,110,Lean
140,M. Gusto,France,22,79,Chelsea,178.0,74.0,Right,RWB,25.0,285,354,405,342,346,226,Lean
141,O. Hutchinson,England,21,76,Nottingham Forest,174.0,65.0,Left,CAM,17.0,324,364,399,340,319,166,Lean
142,B. Barcola,France,22,84,Paris Saint-Germain,188.0,70.0,Right,RM,61.5,386,378,417,365,328,101,Lean
143,M. Akliouche,France,23,80,AS Monaco,183.0,63.0,Left,CAM,33.5,335,390,386,338,331,142,Lean
144,N. Madueke,England,23,80,Arsenal,182.0,75.0,Left,CAM,30.0,345,376,413,371,341,120,Lean
145,H. Ekitiké,France,23,85,Liverpool,190.0,76.0,Right,ST,74.5,378,354,410,399,326,82,Lean
146,R. Calafiori,Italy,23,82,Arsenal,188.0,86.0,Left,LB,40.5,368,365,366,396,352,241,Normal
147,D. Ndoye,Switzerland,24,77,Nottingham Forest,184.0,79.0,Right,RM,14.5,341,353,410,353,326,191,Normal
148,M. Godts,Belgium,20,77,Ajax,176.0,70.0,Right,CAM,23.0,323,353,405,334,286,127,Normal
149,A. Wharton,England,21,81,Crystal Palace,182.0,70.0,Left,CM,38.0,338,398,345,333,358,232,Lean
150,Y. Bonny,France,21,78,Inter,189.0,83.0,Right,ST,32.0,367,361,393,395,315,84,Normal
151,M. Kerkez,Hungary,21,81,Liverpool,180.0,71.0,Left,LWB,35.0,323,350,420,372,363,234,Normal
152,M. Estève,France,23,76,Burnley,193.0,87.0,Left,CB,11.0,263,265,328,337,272,230,Normal
153,D. Wolfe,Norway,23,73,Wolverhampton Wanderers,185.0,78.0,Left,LWB,4.3,303,295,362,343,315,206,Lean
154,V. Barco,Argentina,20,78,RC Strasbourg Alsace,170.0,66.0,Left,CM,21.5,294,384,397,302,374,212,Lean
155,T. Bischof,Germany,20,78,FC Bayern München,180.0,75.0,Left,CM,30.5,334,393,364,359,338,204,Lean
156,A. Güler,Türkiye,20,83,Real Madrid,175.0,70.0,Left,CAM,56.5,356,416,407,350,347,162,Normal
157,M. Soulé,Argentina,22,79,Roma,176.0,69.0,Left,LM,28.0,356,402,403,369,296,106,Normal
158,Pubill,Spain,22,80,Atlético Madrid,191.0,86.0,Right,CB,40.0,335,326,382,375,335,237,Lean
159,A. Garnacho,Argentina,21,78,Chelsea,180.0,72.0,Right,CAM,22.5,349,357,421,329,313,102,Lean
160,H. Larsson,Sweden,21,77,Eintracht Frankfurt,187.0,79.0,Right,CAM,23.5,331,347,383,374,359,206,Lean
161,Diego Moreira,Belgium,20,78,RC Strasbourg Alsace,179.0,73.0,Left,LM,22.0,317,347,423,357,338,191,Normal
162,V. Bak,Denmark,21,71,FC Midtjylland,179.0,71.0,Left,LB,3.6,296,303,353,359,289,198,Normal
163,Gabriel Sara,Brazil,26,80,Galatasaray SK,177.0,79.0,Left,CAM,27.5,373,411,384,389,373,195,Stocky
164,J. Hato,Netherlands,19,78,Chelsea,182.0,76.0,Left,LB,29.0,289,312,404,318,311,224,Normal
165,João Gomes,Brazil,24,78,Wolverhampton Wanderers,176.0,74.0,Right,CDM,19.5,329,350,339,355,373,232,Normal
166,K. Sabbe,Belgium,20,72,Club Brugge KV,172.0,68.0,Right,RWB,5.5,335,324,378,347,313,202,Normal
167,M. Fernandez-Pardo,Spain,20,76,Lille OSC,182.0,73.0,Right,RM,16.5,326,340,413,383,302,109,Normal
168,N. Mendy,Senegal,20,75,Rayo Vallecano,187.0,83.0,Left,CB,11.5,287,272,340,340,299,220,Normal
169,Wang Yudong,China PR,18,64,Zhejiang FC,183.0,68.0,Right,RM,1.4,252,262,397,310,228,73,Lean
170,A. Stanković,Serbia,19,72,Club Brugge KV,185.0,80.0,Right,CM,5.5,309,326,326,358,329,207,Normal
171,M. Palestra,Italy,20,75,Cagliari,186.0,80.0,Right,RM,12.0,320,332,382,351,333,202,Lean
172,A. Khalaili,Israel,20,77,Union Saint-Gilloise,183.0,77.0,Right,RM,23.0,352,353,390,356,331,201,Normal
173,A. Tóth,Hungary,19,72,AFC Bournemouth,181.0,70.0,Right,CAM,5.5,327,371,334,331,330,204,Lean
174,M. Ponomarenko,Ukraine,19,65,Dynamo Kyiv,188.0,89.0,Right,ST,1.9,282,274,330,334,276,64,Normal
175,J. Seys,Belgium,20,74,Club Brugge KV,178.0,63.0,Left,LB,9.5,327,308,381,302,309,211,Lean
176,K. Alajbegović,Bosnia and Herzegovina,17,68,FC Red Bull Salzburg,186.0,75.0,Right,CAM,2.8,312,347,355,324,281,118,Lean
177,Vitor Reis,Brazil,19,76,Girona FC,186.0,77.0,Right,CB,15.0,243,284,340,307,292,224,Lean
178,W. Mike,Germany,16,61,FC Bayern München,175.0,65.0,Left,CAM,1.0,286,293,350,249,235,103,Normal
179,L. Karl,Germany,17,75,FC Bayern München,168.0,67.0,Left,CAM,13.0,328,355,392,288,273,103,Lean
180,R. Ngumoha,England,16,72,Liverpool,170.0,68.0,Right,CAM,6.0,293,326,419,314,271,101,Normal
181,W. Mohya,Germany,16,70,Borussia Mönchengladbach,176.0,66.0,Right,CAM,3.6,278,299,348,241,245,112,Lean
182,Dro Fernández,Spain,17,70,Paris Saint-Germain,182.0,68.0,Right,CAM,3.6,263,332,348,274,308,157,Lean
183,T. Courtois,Belgium,33,90,Real Madrid,200.0,96.0,Left,GK,39.0,86,110,290,252,138,54,Unique
184,26J. Guidetti,Sweden,33,64,AIK,185.0,80.0,Right,ST,0.375,324,308,274,338,308,96,Stocky
185,M. Bizot,Netherlands,34,78,Aston Villa,193.0,88.0,Right,GK,2.4,92,112,258,227,161,37,Normal
186,26K. Volland,Germany,32,69,TSV,179.0,88.0,Left,CAM,1.1,345,353,338,366,327,128,Stocky
187,G. Ramírez,Uruguay,34,67,Boston River,183.0,78.0,Left,CAM,0.47500000000000003,333,341,327,322,300,153,Lean
188,V. van Dijk,Netherlands,33,88,Liverpool,195.0,92.0,Right,CB,43.5,318,360,337,401,347,267,Unique
189,25L. Andersen,Denmark,29,68,Queens Park Rangers,185.0,73.0,Right,CAM,1.2,312,343,347,325,277,85,Lean
190,25S. Khelifi,Tunisia,30,63,Academia Puerto Cabello,172.0,65.0,Right,LM,0.47500000000000003,264,298,380,255,287,176,Lean
191,L. Trossard,Belgium,30,83,Arsenal,172.0,67.0,Right,LW,35.0,389,397,421,366,304,79,Normal
192,E. Can,Germany,31,82,Borussia Dortmund,186.0,86.0,Right,CB,21.0,362,363,353,401,394,250,Stocky
193,25A. Al Mayoof,Saudi Arabia,37,65,Al Shabab,189.0,92.0,Right,GK,0.08,112,149,184,232,176,58,Stocky
194,R. De Paul,Argentina,31,83,Inter Miami,180.0,70.0,Right,CM,30.0,366,413,386,408,395,229,Normal
195,D. Sánchez,Colombia,29,81,Galatasaray SK,187.0,81.0,Right,CB,21.5,320,281,374,375,348,242,Unique
196,M. Mittelstädt,Germany,28,83,VfB Stuttgart,180.0,71.0,Left,LB,33.0,342,354,393,372,375,240,Normal
197,Brahim,Morocco,25,81,Real Madrid,170.0,68.0,Right,CAM,31.0,327,380,418,342,306,90,Normal
198,V. Osimhen,Nigeria,26,86,Galatasaray SK,186.0,77.0,Right,ST,81.0,394,327,414,425,381,125,Normal
199,C. Romero,Argentina,27,82,Tottenham Hotspur,185.0,79.0,Right,CB,32.5,303,288,341,338,318,249,Normal
200,N. Molina,Argentina,27,77,Atlético Madrid,175.0,70.0,Right,RB,10.0,341,334,394,379,345,224,Lean
201,A. Isak,Sweden,25,87,Liverpool,192.0,77.0,Right,ST,96.5,400,372,395,422,351,98,Lean
202,D. Rice,England,26,88,Arsenal,188.0,80.0,Right,CDM,96.0,369,415,361,427,402,252,Normal
203,M. Sarr,France,26,78,RC Lens,183.0,85.0,Left,CB,16.5,301,318,326,318,314,238,Normal
204,E. Eze,England,27,84,Arsenal,178.0,69.0,Right,CAM,48.5,377,415,408,377,356,166,Normal
205,D. Szoboszlai,Hungary,24,86,Liverpool,186.0,74.0,Right,CAM,88.0,396,431,395,414,402,220,Normal
206,N. Lang,Netherlands,26,79,Galatasaray SK,179.0,69.0,Right,CAM,20.5,355,368,410,356,356,141,Lean
207,A. Dovbyk,Ukraine,28,81,Roma,189.0,78.0,Left,ST,26.5,357,342,382,411,341,83,Normal
208,M. Frendrup,Denmark,24,76,Genoa,178.0,70.0,Right,CM,10.0,272,321,382,361,335,221,Normal
209,N. Williams,Wales,24,80,Nottingham Forest,183.0,72.0,Right,LB,25.0,305,345,368,329,334,241,Lean
210,Jovane Cabral,Cabo Verde,27,70,Estrela da Amadora,174.0,81.0,Right,LW,1.7,332,362,370,367,305,100,Stocky
211,Trincão,Portugal,25,83,Sporting CP,184.0,74.0,Left,CAM,45.5,379,405,401,399,323,110,Lean
212,E. Le Fée,France,25,78,Sunderland,173.0,66.0,Right,CM,17.5,313,379,366,313,361,215,Lean
213,D. Kulusevski,Sweden,25,83,Tottenham Hotspur,186.0,80.0,Left,CAM,47.5,387,406,385,394,378,186,Normal
214,A. Stiller,Germany,24,83,VfB Stuttgart,183.0,77.0,Left,CM,47.5,338,388,362,357,345,224,Normal
215,S. Dest,United States,24,79,PSV,173.0,68.0,Right,RM,23.5,321,354,429,349,334,223,Normal
216,C. Summerville,Netherlands,23,78,West Ham United,169.0,64.0,Right,CAM,21.0,337,353,432,332,286,108,Lean
217,Z. Debast,Belgium,21,78,Sporting CP,191.0,76.0,Right,CDM,29.5,319,383,333,368,321,235,Lean
218,M. Diakhon,France,19,70,Club Brugge KV,180.0,75.0,Right,CAM,3.8,297,318,387,324,264,96,Lean
219,A. Vergara,Italy,22,67,Napoli,185.0,77.0,Left,LM,2.3,305,313,338,311,267,118,Normal
220,Franculino,Guinea-Bissau,21,74,FC Midtjylland,186.0,70.0,Left,ST,9.5,343,320,383,375,288,100,Normal
221,Carlos Forbs,Portugal,21,72,Club Brugge KV,169.0,58.0,Left,LM,5.5,318,315,418,336,311,90,Lean
222,C. Harder,Denmark,20,75,RB Leipzig,185.0,71.0,Left,ST,12.5,351,332,363,395,311,72,Normal
223,E. Kroupi,France,19,78,AFC Bournemouth,179.0,70.0,Right,ST,30.5,368,357,386,370,310,142,Normal
224,K. Yıldız,Türkiye,20,82,Juventus,187.0,75.0,Right,CAM,60.5,383,393,404,380,341,143,Normal
225,D. Osorio,Chile,21,74,FC Midtjylland,184.0,67.0,Left,LM,9.5,323,341,384,353,305,151,Normal
226,Murillo,Brazil,22,82,Nottingham Forest,180.0,75.0,Left,CB,40.0,275,332,371,394,318,247,Stocky
227,A. Stanković,Serbia,19,72,Club Brugge KV,185.0,80.0,Right,CM,5.5,309,326,326,358,329,207,Normal
228,Gonzalo,Spain,21,74,Real Madrid,182.0,81.0,Right,ST,9.5,356,320,350,372,316,132,Normal
229,Pau Navarro,Spain,20,74,Villarreal CF,185.0,72.0,Right,CB,8.5,271,259,322,301,285,231,Normal
