ID,Name,Nationality,Team & Contract,foot,Best position,Body type,Age,Overall rating,Height,Weight,Value,Total attacking,Total skill,Total movement,Total power,Total mentality,Total defending
17,K. Mbappé,Na_France,Tc_Real Madrid,F_Right,Bp_ST,Bt_Unique,a5,o5,h3,w5,v5,ta5,ts5,tm5,tp5,tme5,td2
18,Y. Diomande,Na_Côte d'Ivoire,Tc_RB Leipzig,F_Right,Bp_CAM,Bt_Normal,a1,o5,h3,w4,v5,ta5,ts5,tm5,tp5,tme5,td2
19,J. Brandt,Na_Germany,Tc_Borussia Dortmund,F_Right,Bp_CAM,Bt_Lean,a5,o5,h4,w5,v5,ta5,ts5,tm5,tp5,tme5,td2
20,N. De Cat,Na_Belgium,Tc_RSC Anderlecht,F_Right,Bp_CDM,Bt_Lean,a1,o4,h5,w5,v5,ta4,ts4,tm3,tp4,tme5,td5
21,A. Ounahi,Na_Morocco,Tc_Girona FC,F_Right,Bp_CAM,Bt_Lean,a4,o5,h3,w1,v5,ta5,ts5,tm5,tp5,tme5,td5
22,Lamine Yamal,Na_Spain,Tc_FC Barcelona,F_Left,Bp_CAM,Bt_Lean,a1,o5,h3,w2,v5,ta5,ts5,tm5,tp5,tme5,td2
23,K. Wätjen,Na_Germany,Tc_VfL Bochum,F_Right,Bp_CAM,Bt_Normal,a1,o4,h4,w2,v4,ta4,ts5,tm5,tp3,tme4,td4
24,K. Smit,Na_Netherlands,Tc_AZ Alkmaar,F_Right,Bp_CAM,Bt_Normal,a1,o5,h2,w1,v5,ta5,ts5,tm4,tp5,tme5,td5
25,A. Al Obaid,Na_Saudi Arabia,Tc_Damac FC,F_Left,Bp_LM,Bt_Lean,a5,o2,h1,w1,v1,ta4,ts4,tm3,tp4,tme4,td3
26,N. Mazraoui,Na_Morocco,Tc_Manchester United,F_Right,Bp_RB,Bt_Lean,a5,o5,h3,w1,v5,ta5,ts5,tm5,tp5,tme5,td5
27,M. Greenwood,Na_England,Tc_Olympique de Marseille,F_Left,Bp_CAM,Bt_Lean,a4,o5,h3,w4,v5,ta5,ts5,tm5,tp5,tme5,td2
28,M. Olise,Na_France,Tc_FC Bayern München,F_Left,Bp_RM,Bt_Lean,a4,o5,h2,w4,v5,ta5,ts5,tm5,tp5,tme5,td3
29,J. Enciso,Na_Paraguay,Tc_RC Strasbourg Alsace,F_Right,Bp_CAM,Bt_Normal,a2,o5,h1,w1,v5,ta5,ts5,tm5,tp4,tme5,td2
30,A. Bouaddi,Na_France,Tc_Lille OSC,F_Right,Bp_CDM,Bt_Lean,a1,o5,h4,w2,v5,ta5,ts5,tm5,tp5,tme5,td5
31,L. Ugochukwu,Na_France,Tc_Burnley,F_Right,Bp_CDM,Bt_Normal,a2,o5,h5,w5,v5,ta5,ts5,tm3,tp5,tme5,td5
32,O. Rosengren,Na_Sweden,Tc_Malmö FF,F_Right,Bp_CM,Bt_Lean,a3,o5,h2,w1,v5,ta5,ts5,tm5,tp5,tme5,td4
33,W. Alves,Na_England,Tc_Huddersfield Town,F_Right,Bp_CAM,Bt_Lean,a2,o3,h2,w3,v4,ta4,ts5,tm3,tp2,tme4,td3
34,Rayan,Na_Brazil,Tc_AFC Bournemouth,F_Left,Bp_ST,Bt_Normal,a1,o5,h4,w4,v5,ta5,ts5,tm5,tp5,tme5,td2
35,L. Messi,Na_Argentina,Tc_Inter Miami,F_Left,Bp_CAM,Bt_Unique,a5,o5,h1,w1,v5,ta5,ts5,tm5,tp5,tme5,td2
36,M. Perin,Na_Italy,Tc_Juventus,F_Right,Bp_GK,Bt_Lean,a5,o5,h4,w4,v5,ta1,ts1,tm1,tp1,tme1,td1
37,J. Alvarez,Na_Argentina,Tc_Atlético Madrid,F_Right,Bp_CAM,Bt_Normal,a4,o5,h1,w2,v5,ta5,ts5,tm5,tp5,tme5,td3
38,M. Rogers,Na_England,Tc_Aston Villa,F_Right,Bp_CAM,Bt_Normal,a3,o5,h4,w4,v5,ta5,ts5,tm5,tp5,tme5,td4
39,J. Bellingham,Na_England,Tc_Borussia Dortmund,F_Right,Bp_CDM,Bt_Lean,a1,o5,h5,w3,v5,ta5,ts5,tm4,tp5,tme5,td5
40,J. Joronen,Na_Finland,Tc_Palermo FC,F_Right,Bp_GK,Bt_Normal,a5,o5,h5,w5,v4,ta1,ts1,tm1,tp1,tme1,td1
41,L. Paredes,Na_Argentina,Tc_Boca Juniors,F_Right,Bp_CM,Bt_Normal,a5,o5,h3,w3,v5,ta5,ts5,tm4,tp5,tme5,td5
42,M. Salah,Na_Egypt,Tc_Liverpool,F_Left,Bp_RM,Bt_Unique,a5,o5,h1,w2,v5,ta5,ts5,tm5,tp5,tme5,td3
43,P. Berg,Na_Norway,Tc_FK Bodø/Glimt,F_Right,Bp_CDM,Bt_Normal,a5,o5,h2,w3,v5,ta5,ts5,tm5,tp5,tme5,td5
44,M. Rashford,Na_England,Tc_FC Barcelona,F_Right,Bp_LW,Bt_Unique,a5,o5,h4,w4,v5,ta5,ts5,tm5,tp5,tme5,td2
45,D. Doekhi,Na_Netherlands,Tc_1. FC Union Berlin,F_Right,Bp_CB,Bt_Normal,a5,o5,h5,w5,v5,ta4,ts3,tm3,tp5,tme5,td5
46,M. Hjulmand,Na_Denmark,Tc_Sporting CP,F_Right,Bp_CDM,Bt_Normal,a5,o5,h4,w4,v5,ta5,ts5,tm5,tp5,tme5,td5
47,Pedri,Na_Spain,Tc_FC Barcelona,F_Right,Bp_CM,Bt_Lean,a3,o5,h1,w1,v5,ta5,ts5,tm5,tp5,tme5,td5
48,E. Anderson,Na_England,Tc_Nottingham Forest,F_Right,Bp_CM,Bt_Normal,a3,o5,h2,w1,v5,ta5,ts5,tm5,tp5,tme5,td5
49,W. Pacho,Na_Ecuador,Tc_Paris Saint-Germain,F_Left,Bp_CB,Bt_Normal,a4,o5,h4,w5,v5,ta3,ts4,tm5,tp5,tme5,td5
50,A. Gray,Na_England,Tc_Tottenham Hotspur,F_Right,Bp_CDM,Bt_Lean,a1,o5,h4,w2,v5,ta5,ts5,tm4,tp5,tme5,td5
51,L. Vušković,Na_Croatia,Tc_Hamburger SV,F_Right,Bp_CB,Bt_Lean,a1,o5,h5,w5,v5,ta5,ts4,tm1,tp5,tme5,td5
52,G. Doué,Na_Côte d'Ivoire,Tc_RC Strasbourg Alsace,F_Right,Bp_CB,Bt_Normal,a3,o5,h4,w5,v5,ta5,ts5,tm4,tp5,tme5,td5
53,V. Froholdt,Na_Denmark,Tc_FC Porto,F_Right,Bp_CDM,Bt_Lean,a1,o5,h4,w3,v5,ta5,ts5,tm5,tp5,tme5,td5
54,N. Tresoldi,Na_Germany,Tc_Club Brugge KV,F_Right,Bp_ST,Bt_Normal,a2,o5,h3,w4,v5,ta5,ts4,tm5,tp5,tme3,td1
55,K. Mainoo,Na_England,Tc_Manchester United,F_Right,Bp_CM,Bt_Normal,a2,o5,h3,w4,v5,ta5,ts5,tm5,tp5,tme5,td5
56,K. van Oevelen,Na_Netherlands,Tc_FC Volendam,F_Right,Bp_GK,Bt_Lean,a2,o4,h5,w5,v5,ta1,ts1,tm1,tp1,tme1,td1
57,Estêvão,Na_Brazil,Tc_Chelsea,F_Left,Bp_CAM,Bt_Unique,a1,o5,h2,w2,v5,ta5,ts5,tm5,tp5,tme5,td2
58,Son Heung Min,Na_Korea Republic,Tc_Los Angeles FC,F_Right,Bp_ST,Bt_Unique,a5,o5,h3,w4,v5,ta5,ts5,tm5,tp5,tme5,td2
59,Y. Tielemans,Na_Belgium,Tc_Aston Villa,F_Right,Bp_CM,Bt_Normal,a5,o5,h2,w2,v5,ta5,ts5,tm3,tp5,tme5,td5
60,Dani Ceballos,Na_Spain,Tc_Real Madrid,F_Right,Bp_CM,Bt_Lean,a5,o5,h2,w2,v5,ta5,ts5,tm4,tp5,tme5,td5
61,Raphinha,Na_Brazil,Tc_FC Barcelona,F_Left,Bp_LW,Bt_Lean,a5,o5,h2,w1,v5,ta5,ts5,tm5,tp5,tme5,td3
62,Ferran Torres,Na_Spain,Tc_FC Barcelona,F_Right,Bp_ST,Bt_Lean,a4,o5,h3,w4,v5,ta5,ts5,tm5,tp5,tme5,td2
63,Vitinha,Na_Portugal,Tc_Paris Saint-Germain,F_Right,Bp_CM,Bt_Lean,a4,o5,h1,w1,v5,ta5,ts5,tm5,tp5,tme5,td5
64,Z. Suzuki,Na_Japan,Tc_Parma,F_Right,Bp_GK,Bt_Stocky,a3,o5,h5,w5,v5,ta1,ts1,tm1,tp1,tme1,td1
65,T. Muharemović,Na_Bosnia and Herzegovina,Tc_Sassuolo,F_Left,Bp_CB,Bt_Lean,a3,o5,h4,w4,v5,ta2,ts3,tm2,tp3,tme3,td5
66,R. Onyedika,Na_Nigeria,Tc_Club Brugge KV,F_Right,Bp_CDM,Bt_Lean,a4,o5,h4,w4,v5,ta5,ts5,tm5,tp5,tme5,td5
67,Sidny Cabral,Na_Cabo Verde,Tc_SL Benfica,F_Right,Bp_RM,Bt_Normal,a3,o4,h2,w1,v5,ta5,ts5,tm5,tp5,tme5,td4
68,S. El Mala,Na_Germany,Tc_1. FC Köln,F_Right,Bp_CAM,Bt_Normal,a1,o5,h4,w4,v5,ta5,ts5,tm5,tp5,tme4,td2
69,Víctor Muñoz,Na_Spain,Tc_CA Osasuna,F_Right,Bp_RM,Bt_Normal,a2,o5,h1,w2,v5,ta5,ts5,tm5,tp5,tme5,td3
70,S. Steur,Na_Netherlands,Tc_Ajax,F_Right,Bp_CAM,Bt_Lean,a1,o4,h3,w1,v5,ta4,ts5,tm5,tp4,tme5,td4
71,Oso,Na_Spain,Tc_Sevilla FC,F_Left,Bp_LB,Bt_Normal,a2,o5,h3,w1,v5,ta5,ts5,tm4,tp4,tme5,td5
72,M. Albert,Na_United States,Tc_Borussia Dortmund,F_Right,Bp_CAM,Bt_Lean,a1,o4,h2,w1,v5,ta4,ts4,tm5,tp1,tme3,td2
73,L. Muriel,Na_Colombia,Tc_Junior FC,F_Right,Bp_CF,Bt_Normal,a5,o5,h2,w4,v5,ta5,ts5,tm5,tp5,tme5,td2
74,H. Kane,Na_England,Tc_FC Bayern München,F_Right,Bp_ST,Bt_Unique,a5,o5,h4,w5,v5,ta5,ts5,tm5,tp5,tme5,td3
75,25M. van der Hart,Na_Netherlands,Tc_SC Heerenveen,F_Left,Bp_GK,Bt_Normal,a5,o4,h4,w5,v3,ta1,ts1,tm1,tp1,tme1,td1
76,Bruno Fernandes,Na_Portugal,Tc_Manchester United,F_Right,Bp_CAM,Bt_Unique,a5,o5,h2,w1,v5,ta5,ts5,tm5,tp5,tme5,td5
77,O. Dembélé,Na_France,Tc_Paris Saint-Germain,F_Left,Bp_CF,Bt_Unique,a5,o5,h2,w1,v5,ta5,ts5,tm5,tp5,tme5,td3
78,A. Hakimi,Na_Morocco,Tc_Paris Saint-Germain,F_Right,Bp_RB,Bt_Lean,a5,o5,h3,w3,v5,ta5,ts5,tm5,tp5,tme5,td5
79,F. Medina,Na_Argentina,Tc_Olympique de Marseille,F_Left,Bp_CDM,Bt_Normal,a5,o5,h4,w4,v5,ta4,ts4,tm4,tp4,tme5,td5
80,Vini Jr.,Na_Brazil,Tc_Real Madrid,F_Right,Bp_CAM,Bt_Lean,a4,o5,h2,w3,v5,ta5,ts5,tm5,tp5,tme5,td2
81,Marc Cucurella,Na_Spain,Tc_Chelsea,F_Left,Bp_LB,Bt_Normal,a5,o5,h1,w2,v5,ta5,ts5,tm5,tp5,tme5,td5
82,A. Mac Allister,Na_Argentina,Tc_Liverpool,F_Right,Bp_CM,Bt_Normal,a5,o5,h2,w2,v5,ta5,ts5,tm5,tp5,tme5,td5
83,D. Spence,Na_England,Tc_Tottenham Hotspur,F_Right,Bp_RWB,Bt_Lean,a4,o5,h4,w2,v5,ta5,ts5,tm5,tp5,tme5,td5
84,B. Saka,Na_England,Tc_Arsenal,F_Left,Bp_LM,Bt_Lean,a4,o5,h2,w1,v5,ta5,ts5,tm5,tp5,tme5,td4
85,E. Fernández,Na_Argentina,Tc_Chelsea,F_Right,Bp_CM,Bt_Normal,a4,o5,h2,w4,v5,ta5,ts5,tm5,tp5,tme5,td5
86,R. Cherki,Na_France,Tc_Manchester City,F_Left,Bp_CAM,Bt_Normal,a2,o5,h2,w2,v5,ta5,ts5,tm5,tp5,tme5,td2
87,M. Caicedo,Na_Ecuador,Tc_Chelsea,F_Right,Bp_CDM,Bt_Normal,a4,o5,h2,w3,v5,ta5,ts5,tm5,tp5,tme5,td5
88,Nico Williams,Na_Spain,Tc_Athletic Club,F_Right,Bp_RM,Bt_Lean,a3,o5,h3,w1,v5,ta5,ts5,tm5,tp5,tme5,td2
89,F. Wirtz,Na_Germany,Tc_Liverpool,F_Right,Bp_CAM,Bt_Normal,a3,o5,h2,w2,v5,ta5,ts5,tm5,tp5,tme5,td3
90,J. Musiala,Na_Germany,Tc_FC Bayern München,F_Right,Bp_CAM,Bt_Lean,a3,o5,h4,w3,v5,ta5,ts5,tm5,tp5,tme5,td5
91,I. Saibari,Na_Morocco,Tc_PSV,F_Right,Bp_CAM,Bt_Normal,a4,o5,h4,w5,v5,ta5,ts5,tm5,tp5,tme5,td3
92,I. Ndiaye,Na_Senegal,Tc_Everton,F_Right,Bp_RM,Bt_Lean,a4,o5,h2,w2,v5,ta5,ts5,tm5,tp5,tme5,td2
93,O. Diomande,Na_Côte d'Ivoire,Tc_Sporting CP,F_Right,Bp_CB,Bt_Normal,a2,o5,h5,w5,v5,ta2,ts3,tm5,tp4,tme3,td5
94,W. Zaïre-Emery,Na_France,Tc_Paris Saint-Germain,F_Right,Bp_CM,Bt_Normal,a1,o5,h2,w1,v5,ta5,ts5,tm5,tp5,tme5,td5
95,G. Read,Na_Netherlands,Tc_Feyenoord,F_Right,Bp_RB,Bt_Normal,a1,o5,h3,w2,v5,ta4,ts5,tm5,tp5,tme5,td5
96,M. Kömür,Na_Germany,Tc_FC Augsburg,F_Right,Bp_CAM,Bt_Normal,a1,o5,h3,w4,v5,ta5,ts5,tm4,tp4,tme4,td2
97,A. Pavlović,Na_Germany,Tc_FC Bayern München,F_Right,Bp_CM,Bt_Lean,a2,o5,h4,w4,v5,ta5,ts5,tm4,tp5,tme5,td5
98,A. Diao,Na_Senegal,Tc_Como,F_Right,Bp_CAM,Bt_Lean,a1,o5,h4,w4,v5,ta5,ts5,tm5,tp5,tme5,td2
99,C. Uzun,Na_Türkiye,Tc_Eintracht Frankfurt,F_Right,Bp_CAM,Bt_Lean,a1,o5,h4,w1,v5,ta5,ts5,tm5,tp5,tme5,td2
100,J. Simić,Na_Serbia,Tc_Al Ittihad,F_Right,Bp_CB,Bt_Stocky,a2,o4,h4,w3,v5,ta2,ts1,tm3,tp2,tme2,td5
101,M. Lewis-Skelly,Na_England,Tc_Arsenal,F_Left,Bp_CDM,Bt_Normal,a1,o5,h2,w2,v5,ta5,ts5,tm5,tp5,tme5,td5
102,Geovany Quenda,Na_Portugal,Tc_Sporting CP,F_Left,Bp_CAM,Bt_Normal,a1,o5,h1,w2,v5,ta5,ts5,tm5,tp5,tme5,td3
103,B. Barcola,Na_France,Tc_Paris Saint-Germain,F_Right,Bp_RM,Bt_Lean,a3,o5,h4,w2,v5,ta5,ts5,tm5,tp5,tme5,td2
104,M. Akliouche,Na_France,Tc_AS Monaco,F_Left,Bp_CAM,Bt_Lean,a4,o5,h3,w1,v5,ta5,ts5,tm5,tp5,tme5,td3
105,G. Scalvini,Na_Italy,Tc_Atalanta,F_Right,Bp_CB,Bt_Normal,a2,o5,h5,w4,v5,ta3,ts3,tm2,tp4,tme4,td5
106,F. Asllani,Na_Kosovo,Tc_TSG,F_Right,Bp_ST,Bt_Normal,a3,o5,h5,w5,v5,ta5,ts5,tm5,tp5,tme5,td1
107,Éderson,Na_Brazil,Tc_Atalanta,F_Right,Bp_CM,Bt_Normal,a4,o5,h3,w5,v5,ta5,ts5,tm5,tp5,tme5,td5
108,J. Ordoñez,Na_Ecuador,Tc_Club Brugge KV,F_Right,Bp_CB,Bt_Lean,a2,o5,h4,w4,v5,ta3,ts2,tm4,tp3,tme4,td5
109,S. Nypan,Na_Norway,Tc_Manchester City,F_Right,Bp_CAM,Bt_Lean,a1,o5,h3,w2,v5,ta5,ts5,tm5,tp4,tme5,td4
110,S. Pafundi,Na_Italy,Tc_Sampdoria,F_Left,Bp_CAM,Bt_Normal,a1,o4,h1,w1,v5,ta5,ts5,tm5,tp3,tme5,td3
111,A. Ouédraogo,Na_Germany,Tc_RB Leipzig,F_Right,Bp_CAM,Bt_Lean,a1,o5,h5,w5,v5,ta5,ts5,tm5,tp5,tme5,td3
112,N. O'Reilly,Na_England,Tc_Manchester City,F_Left,Bp_LB,Bt_Lean,a2,o5,h5,w4,v5,ta5,ts5,tm5,tp5,tme5,td5
113,P. Comuzzo,Na_Italy,Tc_Fiorentina,F_Right,Bp_CB,Bt_Normal,a2,o5,h4,w3,v5,ta3,ts2,tm3,tp3,tme3,td5
114,I. Mbaye,Na_Senegal,Tc_Paris Saint-Germain,F_Right,Bp_RW,Bt_Normal,a1,o5,h2,w1,v5,ta4,ts5,tm5,tp3,tme4,td2
115,O. Gill,Na_Paraguay,Tc_San Lorenzo de Almagro,F_Left,Bp_GK,Bt_Normal,a4,o4,h5,w5,v4,ta1,ts1,tm1,tp1,tme1,td1
116,18L. Obraniak,Na_Poland,Tc_AJ Auxerre,F_Left,Bp_CAM,Bt_Normal,a5,o4,h1,w2,v3,ta5,ts5,tm3,tp3,tme5,td3
117,Y. Sommer,Na_Switzerland,Tc_Inter,F_Right,Bp_GK,Bt_Normal,a5,o5,h3,w4,v5,ta1,ts1,tm2,tp2,tme1,td1
118,K. De Bruyne,Na_Belgium,Tc_Napoli,F_Right,Bp_CM,Bt_Unique,a5,o5,h3,w3,v5,ta5,ts5,tm4,tp5,tme5,td5
119,P. Pogba,Na_France,Tc_AS Monaco,F_Right,Bp_CAM,Bt_Unique,a5,o5,h5,w5,v5,ta5,ts5,tm3,tp5,tme5,td4
120,23Mexer,Na_Mozambique,Tc_GD Estoril Praia,F_Right,Bp_CB,Bt_Lean,a5,o5,h4,w4,v3,ta4,ts3,tm1,tp4,tme4,td5
121,R. Allsop,Na_England,Tc_Birmingham City,F_Right,Bp_GK,Bt_Normal,a5,o4,h5,w4,v2,ta1,ts1,tm1,tp1,tme1,td1
122,25L. Kurzawa,Na_France,Tc_Boavista FC,F_Left,Bp_LB,Bt_Lean,a5,o4,h3,w3,v3,ta5,ts5,tm3,tp4,tme5,td5
123,B. Assombalonga,Na_Congo DR,Tc_Barnet,F_Right,Bp_ST,Bt_Normal,a5,o3,h2,w4,v2,ta5,ts4,tm4,tp5,tme4,td2
124,26A. Khamis,Na_Saudi Arabia,Tc_Al Okhdood,F_Right,Bp_RB,Bt_Normal,a5,o3,h1,w2,v1,ta3,ts4,tm3,tp4,tme4,td4
125,19F. Nájera,Na_Colombia,Tc_La Equidad,F_Right,Bp_CB,Bt_Normal,a5,o4,h4,w4,v1,ta3,ts2,tm1,tp2,tme3,td4
126,B. Embolo,Na_Switzerland,Tc_Stade Rennais FC,F_Right,Bp_ST,Bt_Stocky,a5,o5,h4,w5,v5,ta5,ts5,tm5,tp5,tme5,td3
127,Marcos Llorente,Na_Spain,Tc_Atlético Madrid,F_Right,Bp_RB,Bt_Lean,a5,o5,h3,w3,v5,ta5,ts5,tm5,tp5,tme5,td5
128,D. Dumfries,Na_Netherlands,Tc_Inter,F_Right,Bp_RB,Bt_Normal,a5,o5,h4,w4,v5,ta5,ts5,tm5,tp5,tme5,td5
129,E. Eze,Na_England,Tc_Arsenal,F_Right,Bp_CAM,Bt_Normal,a5,o5,h2,w1,v5,ta5,ts5,tm5,tp5,tme5,td4
130,F. Valverde,Na_Uruguay,Tc_Real Madrid,F_Right,Bp_CM,Bt_Unique,a5,o5,h3,w4,v5,ta5,ts5,tm5,tp5,tme5,td5
131,L. Martínez,Na_Argentina,Tc_Manchester United,F_Left,Bp_CB,Bt_Normal,a5,o5,h2,w4,v5,ta5,ts5,tm5,tp5,tme5,td5
132,O. Solet,Na_France,Tc_Udinese,F_Right,Bp_CB,Bt_Normal,a4,o5,h5,w5,v5,ta3,ts4,tm4,tp5,tme5,td5
133,A. Gordon,Na_England,Tc_Newcastle United,F_Right,Bp_RM,Bt_Lean,a4,o5,h3,w2,v5,ta5,ts5,tm5,tp5,tme5,td3
134,K. Kvaratskhelia,Na_Georgia,Tc_Paris Saint-Germain,F_Right,Bp_CAM,Bt_Normal,a4,o5,h3,w2,v5,ta5,ts5,tm5,tp5,tme5,td4
135,Bruno Guimarães,Na_Brazil,Tc_Newcastle United,F_Right,Bp_CM,Bt_Lean,a5,o5,h3,w3,v5,ta5,ts5,tm5,tp5,tme5,td5
136,E. Camavinga,Na_France,Tc_Real Madrid,F_Left,Bp_CM,Bt_Lean,a3,o5,h4,w4,v5,ta5,ts5,tm5,tp5,tme5,td5
137,J. Zirkzee,Na_Netherlands,Tc_Manchester United,F_Right,Bp_CAM,Bt_Normal,a4,o5,h5,w5,v5,ta5,ts5,tm4,tp5,tme5,td2
138,S. Lammens,Na_Belgium,Tc_Manchester United,F_Right,Bp_GK,Bt_Normal,a3,o5,h5,w5,v5,ta1,ts1,tm1,tp2,tme1,td1
139,B. El Khannouss,Na_Morocco,Tc_VfB Stuttgart,F_Right,Bp_CAM,Bt_Lean,a2,o5,h2,w2,v5,ta5,ts5,tm5,tp4,tme4,td2
140,M. Gusto,Na_France,Tc_Chelsea,F_Right,Bp_RWB,Bt_Lean,a3,o5,h2,w3,v5,ta4,ts5,tm5,tp5,tme5,td5
141,O. Hutchinson,Na_England,Tc_Nottingham Forest,F_Left,Bp_CAM,Bt_Lean,a2,o5,h1,w1,v5,ta5,ts5,tm5,tp5,tme5,td4
142,B. Barcola,Na_France,Tc_Paris Saint-Germain,F_Right,Bp_RM,Bt_Lean,a3,o5,h4,w2,v5,ta5,ts5,tm5,tp5,tme5,td2
143,M. Akliouche,Na_France,Tc_AS Monaco,F_Left,Bp_CAM,Bt_Lean,a4,o5,h3,w1,v5,ta5,ts5,tm5,tp5,tme5,td3
144,N. Madueke,Na_England,Tc_Arsenal,F_Left,Bp_CAM,Bt_Lean,a4,o5,h3,w3,v5,ta5,ts5,tm5,tp5,tme5,td2
145,H. Ekitiké,Na_France,Tc_Liverpool,F_Right,Bp_ST,Bt_Lean,a4,o5,h5,w4,v5,ta5,ts5,tm5,tp5,tme5,td2
146,R. Calafiori,Na_Italy,Tc_Arsenal,F_Left,Bp_LB,Bt_Normal,a4,o5,h4,w5,v5,ta5,ts5,tm5,tp5,tme5,td5
147,D. Ndoye,Na_Switzerland,Tc_Nottingham Forest,F_Right,Bp_RM,Bt_Normal,a4,o5,h4,w4,v5,ta5,ts5,tm5,tp5,tme5,td5
148,M. Godts,Na_Belgium,Tc_Ajax,F_Right,Bp_CAM,Bt_Normal,a2,o5,h2,w2,v5,ta5,ts5,tm5,tp5,tme4,td3
149,A. Wharton,Na_England,Tc_Crystal Palace,F_Left,Bp_CM,Bt_Lean,a2,o5,h3,w2,v5,ta5,ts5,tm4,tp5,tme5,td5
150,Y. Bonny,Na_France,Tc_Inter,F_Right,Bp_ST,Bt_Normal,a2,o5,h5,w5,v5,ta5,ts5,tm5,tp5,tme5,td2
151,M. Kerkez,Na_Hungary,Tc_Liverpool,F_Left,Bp_LWB,Bt_Normal,a2,o5,h2,w2,v5,ta5,ts5,tm5,tp5,tme5,td5
152,M. Estève,Na_France,Tc_Burnley,F_Left,Bp_CB,Bt_Normal,a4,o5,h5,w5,v5,ta3,ts3,tm3,tp5,tme4,td5
153,D. Wolfe,Na_Norway,Tc_Wolverhampton Wanderers,F_Left,Bp_LWB,Bt_Lean,a4,o5,h4,w4,v5,ta5,ts4,tm5,tp5,tme5,td5
154,V. Barco,Na_Argentina,Tc_RC Strasbourg Alsace,F_Left,Bp_CM,Bt_Lean,a2,o5,h1,w1,v5,ta4,ts5,tm5,tp4,tme5,td5
155,T. Bischof,Na_Germany,Tc_FC Bayern München,F_Left,Bp_CM,Bt_Lean,a2,o5,h2,w3,v5,ta5,ts5,tm5,tp5,tme5,td5
156,A. Güler,Na_Türkiye,Tc_Real Madrid,F_Left,Bp_CAM,Bt_Normal,a2,o5,h1,w2,v5,ta5,ts5,tm5,tp5,tme5,td3
157,M. Soulé,Na_Argentina,Tc_Roma,F_Left,Bp_LM,Bt_Normal,a3,o5,h2,w1,v5,ta5,ts5,tm5,tp5,tme5,td2
158,Pubill,Na_Spain,Tc_Atlético Madrid,F_Right,Bp_CB,Bt_Lean,a3,o5,h5,w5,v5,ta5,ts5,tm5,tp5,tme5,td5
